team_id,team_name,games_played,games_won,games_drawn,games_lost,points,goals_for,goals_against,goal_difference,xg_for,xg_against,xg_diff,xg_non_penalty_diff,xg_open_play_diff,xg_set_play_diff,field_tilt,shot_share
8344,Cardiff City,30,19,6,5,63,55,29,26,46.27,35.87,10.400000000000006,11.969999999999999,13.680000000000003,-1.7299999999999986,0.5765047135605511,0.53875
8430,Lincoln City,30,18,7,5,61,52,30,22,39.24,36.12,3.1200000000000045,3.1199999999999974,-1.1799999999999997,4.279999999999999,0.5305164319248826,0.4830028328611898
8559,Bolton Wanderers,31,15,10,6,55,41,29,12,48.31,25.4,22.910000000000004,24.480000000000004,23.28,1.1600000000000001,0.6367552045944006,0.6536523929471033
10007,Stockport County,30,15,8,7,53,42,35,7,41.37,34.39,6.979999999999997,3.8399999999999963,1.9000000000000021,1.8899999999999988,0.5238095238095238,0.523876404494382
9796,Huddersfield Town,31,14,7,10,49,53,42,11,45.34,32.22,13.120000000000005,12.329999999999998,8.75,3.6500000000000004,0.5175644028103045,0.5497237569060773
8484,Bradford City,29,14,7,8,49,37,33,4,38.15,32.27,5.8799999999999955,3.509999999999998,0.629999999999999,2.8900000000000006,0.4980268350434096,0.4971751412429379
8346,Luton Town,30,13,6,11,45,40,35,5,42.46,34.11,8.350000000000001,5.189999999999998,7.41,-2.1999999999999993,0.5649402390438247,0.572289156626506
8676,Wycombe Wanderers,30,11,10,9,43,40,31,9,41.83,34.06,7.769999999999996,6.189999999999998,1.0199999999999996,5.170000000000001,0.5714285714285714,0.5464949928469242
10253,Stevenage,29,11,9,9,42,31,30,1,28.1,32.98,-4.8799999999999955,-3.3000000000000007,-7.65,4.34,0.5185185185185185,0.4854202401372213
8677,Peterborough United,30,13,2,15,41,43,40,3,43.3,42.39,0.9099999999999966,-0.6700000000000017,3.960000000000001,-4.59,0.48968678380443087,0.4952893674293405
9798,Reading,29,10,10,9,40,41,38,3,35.44,35.230000000000004,0.20999999999999375,-0.5799999999999983,-1.5300000000000011,0.9500000000000002,0.48446683459277917,0.5007299270072992
9818,Mansfield Town,28,10,9,9,39,36,30,6,33.13,36.55,-3.4199999999999946,-1.8399999999999999,-2.719999999999999,0.8599999999999994,0.4554637281910009,0.4608150470219436
9833,Exeter City,29,11,5,13,38,33,30,3,32.03,35.32,-3.289999999999999,-4.859999999999999,-3.1099999999999994,-1.7400000000000002,0.4194107452339688,0.45709828393135726
158319,AFC Wimbledon,29,11,5,13,38,32,38,-6,30.46,38.22,-7.759999999999998,-10.129999999999999,-6.75,-3.380000000000001,0.40937781785392247,0.4637223974763407
8283,Barnsley,27,10,7,10,37,44,46,-2,34.62,41.29,-6.670000000000002,-5.100000000000001,1.4000000000000021,-6.53,0.48808545603944126,0.4818731117824773
8401,Plymouth Argyle,30,11,4,15,37,37,46,-9,39.18,43.31,-4.130000000000003,-1.769999999999996,-3.5900000000000034,1.8600000000000012,0.47198772064466615,0.49592391304347827
8483,Blackpool,30,9,6,15,33,37,44,-7,29.84,44.48,-14.639999999999997,-12.270000000000003,-7.210000000000001,-5.050000000000001,0.43933685003767897,0.40902872777017785
8351,Leyton Orient,30,9,6,15,33,40,49,-9,38.63,44.72,-6.089999999999996,-3.730000000000004,1.6099999999999994,-5.35,0.5146153846153846,0.49928263988522237
8651,Northampton Town,30,9,6,15,33,29,39,-10,30.87,46.98,-16.109999999999996,-19.27,-18.36,-0.8300000000000018,0.4388185654008439,0.40804597701149425
9903,Doncaster Rovers,30,9,6,15,33,33,50,-17,42.76,36.06,6.699999999999996,9.07,4.120000000000001,4.94,0.49739000745712153,0.5236111111111111
9792,Burton Albion,30,8,8,14,32,33,45,-12,35.56,45.99,-10.43,-9.629999999999995,-9.280000000000001,-0.370000000000001,0.4788047255038221,0.47493403693931396
8528,Wigan Athletic,29,7,10,12,31,30,40,-10,36.74,36.59,0.14999999999999858,3.3100000000000023,1.3499999999999979,1.950000000000001,0.47469458987783597,0.4636363636363636
8119,Rotherham United,29,8,7,14,31,31,43,-12,30.68,43.63,-12.950000000000003,-12.939999999999998,-7.59,-5.4,0.4352836879432624,0.4537313432835821
9799,Port Vale,28,5,7,16,22,22,40,-18,34.4,30.53,3.8699999999999974,3.0799999999999983,-0.14000000000000057,3.2299999999999986,0.5294117647058824,0.5276461295418642
