team_id,team_name,games_played,games_won,games_drawn,games_lost,points,goals_for,goals_against,goal_difference,xg_for,xg_against,xg_diff,xg_non_penalty_diff,xg_open_play_diff,xg_set_play_diff,field_tilt,shot_share
45729,Bromley,31,18,9,4,63,55,33,22,46.92,38.089999999999996,8.830000000000005,8.050000000000004,2.780000000000001,5.259999999999998,0.5443786982248521,0.5425950196592398
9834,Cambridge United,31,17,8,6,59,45,25,20,38.6,28.61,9.990000000000002,10.77,4.620000000000001,6.1499999999999995,0.5991561181434599,0.5723793677204659
9795,Swindon Town,32,18,4,10,58,53,37,16,44.93,38.769999999999996,6.160000000000004,5.3700000000000045,6.449999999999999,-1.049999999999999,0.4996530187369882,0.5012594458438288
9819,Notts County,31,17,7,7,58,47,31,16,41.45,31.14,10.310000000000002,9.52,9.629999999999999,-0.1399999999999988,0.5039001560062403,0.5212765957446809
8645,Milton Keynes Dons,31,16,9,6,57,60,33,27,49.79,34.44,15.350000000000001,12.189999999999998,10.559999999999999,1.58,0.5608552631578947,0.5388967468175389
282326,Salford City,29,16,4,9,52,41,35,6,47.72,37.32,10.399999999999999,8.829999999999998,6.859999999999999,2.0,0.5776528460997892,0.548051948051948
9784,Crewe Alexandra,32,14,8,10,50,48,38,10,41.78,43.89,-2.1099999999999994,-3.6700000000000017,-1.9000000000000021,-1.8100000000000005,0.48721492743607464,0.46833930704898447
9786,Chesterfield,31,12,13,6,49,50,42,8,38.95,41.46,-2.509999999999998,2.1899999999999977,5.369999999999997,-3.1400000000000006,0.5075528700906344,0.5042857142857143
10006,Walsall,30,14,7,9,49,38,31,7,35.91,33.44,2.469999999999999,3.270000000000003,0.08999999999999986,3.210000000000001,0.48624595469255666,0.47781065088757396
10005,Grimsby Town,30,13,9,8,48,42,32,10,47.19,31.98,15.209999999999997,11.270000000000003,9.27,1.9700000000000006,0.598893499308437,0.5813008130081301
8175,Barnet,31,12,11,8,47,40,31,9,50.28,33.41,16.870000000000005,14.510000000000002,6.290000000000003,8.190000000000001,0.6388323150033944,0.602921646746348
8416,Colchester United,30,12,9,9,45,43,32,11,44.46,30.64,13.82,10.659999999999997,11.650000000000002,-0.9799999999999986,0.5552282768777614,0.5325443786982249
8671,Accrington Stanley,30,12,7,11,43,35,31,4,34.45,39.6,-5.149999999999999,-5.150000000000006,-1.4000000000000021,-3.789999999999999,0.45292207792207795,0.5188679245283019
10173,Gillingham,30,10,11,9,41,40,37,3,45.49,39.29,6.200000000000003,0.6799999999999997,-2.9800000000000004,3.6500000000000004,0.531062124248497,0.5225563909774437
45723,Fleetwood Town,30,10,8,12,38,39,40,-1,42.309999999999995,41.19,1.1199999999999974,0.3399999999999963,2.009999999999998,-1.7200000000000006,0.4589687726942629,0.4548919949174079
9785,Oldham Athletic,29,8,12,9,36,29,30,-1,42.43,37.45,4.979999999999997,5.75,4.41,1.3999999999999986,0.49767801857585137,0.5491803278688525
8313,Tranmere Rovers,31,9,8,14,35,45,51,-6,37.18,46.24,-9.060000000000002,-8.280000000000001,-6.400000000000002,-1.8599999999999994,0.48903654485049836,0.475
8680,Cheltenham Town,30,9,4,17,31,29,51,-22,26.18,47.88,-21.700000000000003,-19.339999999999996,-11.870000000000001,-7.539999999999999,0.3826086956521739,0.3973684210526316
9896,Shrewsbury Town,31,7,8,16,29,28,51,-23,28.12,39.83,-11.709999999999997,-7.760000000000002,-8.809999999999999,1.0600000000000005,0.49078341013824883,0.49387755102040815
6350,Barrow,30,7,6,17,27,31,46,-15,32.79,46.73,-13.939999999999998,-12.36,-10.86,-1.4700000000000006,0.4182726623840114,0.4326797385620915
10104,Bristol Rovers,31,8,3,20,27,29,53,-24,40.6,47.24,-6.640000000000001,-3.489999999999995,-4.699999999999999,1.2700000000000014,0.4741248097412481,0.49022346368715086
8647,Crawley Town,32,6,8,18,26,32,53,-21,42.46,45.86,-3.3999999999999986,-4.170000000000002,-0.6899999999999977,-3.42,0.49023569023569025,0.5172413793103449
7946,Harrogate Town,32,5,7,20,22,23,51,-28,30.14,56.6,-26.46,-23.299999999999997,-14.559999999999995,-8.76,0.34905042567125083,0.3900789177001127
10262,Newport County,31,5,6,20,21,29,57,-28,32.76,51.79,-19.03,-15.880000000000003,-15.820000000000004,-0.0600000000000005,0.4134751773049645,0.41773778920308485
