team_name,played,points,goal_difference,contexg_for,contexg_against,contexg_difference,home_contexg_difference,away_contexg_difference,home_away_contexg_difference_gap
Bayern Munich,29,76,78,2.896605,0.981018,1.915586,2.341269,1.518283,0.822986
Borussia Dortmund,30,64,30,1.892681,1.153075,0.739607,1.118582,0.360632,0.757951
RasenBallsport Leipzig,30,59,22,2.005371,1.364944,0.640427,0.898246,0.382608,0.515637
VfB Stuttgart,29,56,22,1.922941,1.266489,0.656452,0.764464,0.540725,0.223738
Hoffenheim,30,54,15,1.852407,1.187681,0.664726,1.014925,0.314526,0.700399
Bayer Leverkusen,30,52,19,1.910790,1.308967,0.601822,1.027585,0.176060,0.851525
Freiburg,30,43,-4,1.348831,1.549089,-0.200258,0.277540,-0.678056,0.955596
Eintracht Frankfurt,30,42,-2,1.472588,1.436992,0.035596,0.301871,-0.230679,0.532550
Augsburg,30,36,-16,1.197900,1.944077,-0.746178,-0.496691,-0.995664,0.498974
Mainz 05,29,33,-9,1.365255,1.640384,-0.275129,0.028870,-0.600843,0.629712
Union Berlin,30,32,-18,1.186378,1.599511,-0.413133,-0.064873,-0.761393,0.696520
FC Cologne,30,31,-7,1.360512,1.594251,-0.233738,0.136027,-0.603504,0.739532
Hamburger SV,30,31,-15,1.249335,1.784763,-0.535429,-0.128441,-0.942416,0.813974
Werder Bremen,30,31,-18,1.363821,1.662455,-0.298634,0.100572,-0.697839,0.798411
Borussia M.Gladbach,29,30,-14,1.293667,1.727483,-0.433816,-0.260638,-0.595449,0.334811
St. Pauli,30,26,-25,1.039212,1.690309,-0.651097,-0.542953,-0.759241,0.216287
Wolfsburg,30,24,-25,1.241794,1.729656,-0.487862,-0.181619,-0.794106,0.612486
FC Heidenheim,30,19,-33,1.162944,2.079783,-0.916839,-0.856624,-0.977055,0.120431
