team_name,played,points,goal_difference,contexg_for,contexg_against,contexg_difference,home_contexg_difference,away_contexg_difference,home_away_contexg_difference_gap
Paris Saint Germain,30,69,43,2.532191,0.853896,1.678295,1.996047,1.360543,0.635505
Lens,30,63,28,1.987210,1.197586,0.789624,1.204489,0.374760,0.829729
Lyon,31,57,16,1.591827,1.135532,0.456295,0.649165,0.275481,0.373684
Lille,30,54,15,1.803116,1.084821,0.718296,0.813815,0.622776,0.191040
Rennes,30,53,11,1.509211,1.311080,0.198132,0.408126,-0.011863,0.419989
Marseille,30,52,18,1.760424,1.195709,0.564715,0.825857,0.303573,0.522284
Monaco,30,50,7,1.754720,1.406730,0.347990,0.532966,0.136589,0.396378
Strasbourg,29,43,9,1.515782,1.293029,0.222753,0.470963,-0.043186,0.514149
Lorient,30,41,-4,1.175139,1.435393,-0.260254,0.076075,-0.596583,0.672658
Paris FC,30,38,-6,1.311669,1.458785,-0.147116,0.191965,-0.443812,0.635777
Brest,30,38,-6,1.204058,1.520766,-0.316709,0.018718,-0.652135,0.670853
Toulouse,30,37,-1,1.298410,1.434161,-0.135752,0.073941,-0.345444,0.419384
Angers,31,34,-17,0.959046,1.837360,-0.878313,-0.629621,-1.143585,0.513965
Le Havre,30,30,-13,1.092821,1.596404,-0.503584,-0.227481,-0.779687,0.552206
Nice,30,29,-22,1.210233,1.622962,-0.412729,-0.225586,-0.599871,0.374285
Auxerre,31,25,-15,1.051637,1.534614,-0.482977,-0.270656,-0.682028,0.411372
Nantes,30,20,-24,1.014552,1.645832,-0.631280,-0.598191,-0.664369,0.066178
Metz,30,15,-39,0.897931,2.067727,-1.169796,-0.800655,-1.538936,0.738281
