team_name,played,points,goal_difference,contexg_for,contexg_against,contexg_difference,home_contexg_difference,away_contexg_difference,home_away_contexg_difference_gap
Barcelona,28,70,49,2.719512,1.041019,1.678493,2.102423,1.254563,0.847859
Real Madrid,28,66,36,2.146698,1.083399,1.063299,1.309784,0.816813,0.492971
Villarreal,29,58,20,1.595578,1.400701,0.194877,0.625393,-0.266390,0.891782
Atletico Madrid,28,57,22,2.002737,1.011127,0.991609,1.605058,0.283784,1.321274
Real Betis,28,44,8,1.526776,1.269319,0.257456,0.521201,-0.006288,0.527489
Celta Vigo,28,41,7,1.310319,1.350532,-0.040214,0.102140,-0.182567,0.284706
Real Sociedad,29,38,-1,1.437761,1.507466,-0.069705,0.228638,-0.348158,0.576796
Espanyol,28,37,-7,1.197585,1.459426,-0.261842,-0.092369,-0.431315,0.338946
Getafe,28,35,-7,0.905298,1.306839,-0.401540,-0.273266,-0.529814,0.256548
Athletic Club,28,35,-10,1.457295,1.160765,0.296530,0.629505,-0.036445,0.665950
Osasuna,28,34,-2,1.215076,1.448580,-0.233505,0.245332,-0.648496,0.893828
Girona,28,34,-12,1.257308,1.597904,-0.340596,-0.337477,-0.343716,0.006239
Rayo Vallecano,28,32,-6,1.297565,1.331403,-0.033838,0.416000,-0.483675,0.899675
Valencia,28,32,-12,1.154125,1.466025,-0.311899,0.153182,-0.776980,0.930162
Sevilla,28,31,-10,1.216223,1.327173,-0.110950,0.132147,-0.354047,0.486194
Alaves,28,28,-12,1.109810,1.455239,-0.345429,-0.035719,-0.655139,0.619420
Mallorca,28,28,-12,1.045877,1.705384,-0.659507,-0.113426,-1.205587,1.092161
Elche,28,26,-9,1.328857,1.603462,-0.274605,0.159911,-0.709121,0.869031
Levante,28,23,-16,1.188499,1.903283,-0.714785,-0.674873,-0.754696,0.079823
Real Oviedo,28,21,-26,1.036975,1.725296,-0.688322,-0.411085,-0.965558,0.554473
